Event Category,Event Name,Event Description,Event Properties,Property Type,Property Description,Priority,Implementation Location
Authentication,phone_number_entered,User enters phone number for login,"page_source, entry_point",String,Where user initiated login (homepage/menu/etc),Critical,auth.html
Authentication,otp_requested,OTP sent to user's phone,"phone_number, request_time",String/Timestamp,Phone and time of request,Critical,auth.html
Authentication,otp_verified,User successfully verifies OTP,"phone_number, attempts, verification_time",String/Integer/Timestamp,Verification details,Critical,auth.html
Authentication,otp_failed,OTP verification failed,"phone_number, attempts, error_reason",String/Integer/String,Failure details,High,auth.html
Authentication,email_provided,User provides email address,"email, phone_number",String,Email capture,Medium,auth-email.html
Authentication,email_skipped,User skips email entry,"phone_number, skip_reason",String,Reason for skipping,Medium,auth-email.html
Authentication,pan_submitted,User submits PAN for verification,"pan_masked, user_type",String,PAN verification start,Critical,pan-entry.html
Authentication,pan_verified,PAN successfully verified,"pan_masked, name_match, existing_investor",String/Boolean,Verification success,Critical,pan-entry.html
Authentication,pan_failed,PAN verification failed,"pan_masked, error_reason, attempts",String/String/Integer,Verification failure,High,pan-entry.html

KYC,kyc_started,User begins KYC process,"user_type, pan_verified, start_page",String/Boolean/String,KYC initiation,Critical,kyc.html
KYC,personal_details_submitted,User submits personal information,"has_nominee, income_range, occupation",Boolean/String/String,Personal info,Critical,personal-details.html
KYC,bank_account_added,User adds bank account,"bank_name, account_type, is_primary",String/String/Boolean,Bank details,Critical,kyc.html#accountDetails
KYC,nominee_added,User adds nominee details,"nominee_relation, allocation_percentage",String/Integer,Nominee info,High,kyc.html#nomineeDetails
KYC,signature_uploaded,User uploads signature,"signature_method, file_size",String/Integer,Signature capture,High,kyc.html#signature
KYC,kyc_completed,KYC process completed successfully,"completion_time, steps_completed, user_type",Timestamp/Integer/String,KYC success,Critical,kyc.html#success
KYC,kyc_failed,KYC process failed,"failure_reason, failed_step, attempts",String/String/Integer,KYC failure,High,kyc.html

Investment,fund_viewed,User views fund details,"fund_name, fund_category, fund_returns, view_source",String/String/Float/String,Fund discovery,High,mutual-funds.html
Investment,fund_searched,User searches for funds,"search_query, results_count, filter_applied",String/Integer/String,Fund search,Medium,mutual-funds.html
Investment,fund_selected,User selects fund for investment,"fund_name, fund_category, expected_returns",String/String/Float,Fund selection,Critical,fund-detail.html
Investment,investment_amount_entered,User enters investment amount,"amount, investment_type, fund_name",Float/String/String,Amount entry,Critical,add-funds.html
Investment,sip_selected,User chooses SIP investment,"sip_amount, sip_frequency, fund_name",Float/String/String,SIP selection,Critical,add-funds.html
Investment,lumpsum_selected,User chooses lumpsum investment,"lumpsum_amount, fund_name",Float/String,Lumpsum selection,Critical,add-funds.html
Investment,payment_method_selected,User selects payment method,"payment_method, fund_name, amount",String/String/Float,Payment selection,Critical,upi-autopay.html
Investment,upi_autopay_initiated,UPI Autopay setup started,"upi_app, amount, frequency",String/Float/String,Autopay start,High,upi-autopay.html
Investment,upi_autopay_completed,UPI Autopay successfully set up,"upi_app, amount, mandate_id",String/Float/String,Autopay success,Critical,autopay-success.html
Investment,investment_completed,Investment successfully completed,"fund_name, amount, investment_type, payment_method",String/Float/String/String,Investment success,Critical,payment-success.html
Investment,investment_failed,Investment failed,"fund_name, amount, failure_reason, payment_method",String/Float/String/String,Investment failure,High,payment-failed.html

Portfolio,portfolio_viewed,User views portfolio,"total_value, total_invested, total_returns, returns_percentage",Float/Float/Float/Float,Portfolio view,High,my-funds.html
Portfolio,portfolio_details_expanded,User expands portfolio details,"section_expanded, fund_name",String/String,Detail view,Medium,my-funds.html
Portfolio,returns_viewed,User views returns details,"returns_amount, returns_percentage, time_period",Float/Float/String,Returns analysis,Medium,my-funds.html
Portfolio,fund_performance_viewed,User views individual fund performance,"fund_name, returns, invested_amount, current_value",String/Float/Float/Float,Fund analysis,Medium,fund-detail.html
Portfolio,transaction_history_viewed,User views transaction history,"filter_applied, date_range, transaction_count",String/String/Integer,History view,Medium,transactions.html

